Görüş;Durum
Aynı gün kargoya verildi 1 gün sonra sabah elime ulaştı paketleme güzel, şarj standı sorunsuz çalışıyor usb ile de şarj oluyor kesimi gayet başarılı tavsiye ederim.;2
İlk önce tereddüt ettim ama iyiki almışım alalı 3 ay oldu 50 defa olmuştur sakal tıraşı oluyorum ,hiç şarja bağlamadan 50 ye yakın tıraş yaptı doldurunca nekadar gider Allah bilir. Bıçaklar çok kaliteli çekme koparma yapmıyor makina hızlı ve jiletin bir tık üstü kesiyor, Sessiz ve t bıçağı çok kullanışlı sakal ense için bire bir tavsiye ederim....;2
Sakal için ideal, saç için kullanmıyorum. Philips makinalar para tuzağı.;2
Ürün güzel beğendim;2
Merhabalar ürün anlatıldığı gibi geldi.Eksiksiz ve gayet şık.Daha kullanmadim.Ancak almadan önce arastirmistim.Ona göre sipariş verdim.;2
Tavsiye etmiyorum, görüntü net değil.Harita gereksiz büyük.;1
ürün fiyatina gore guzel bekledigimden guzel ??;2
hızlı ve özenli kargo teşekkürler.;2
urun gelmiyor 10 gundur bekliyoz magaza iletisim sifir siparis tamamlandi diyor urun gelmiyor dolandirildik;1
urun cok guzel bekledigim gibi geldi cok memnun kaldim super bi urun.;2
Ürün anlatıldığı gibi mağaza yorumları korkutmuştu fakat ürün 5 günde elime ulaştı herhangi bir problem yok;2
Ürünler kaliteli teşekkürler;2
Çok beğendim çocukların saçlarını rahatlıkla kesebiliyorum tam istediğim gibi;2
Ürün şık ve kullanışlı;2
urun cok guzel siddetle tavsiye ederim 5 adet aldim;2
güzel ürün tavsiye ederim;2
ÜRÜN GAYET KULLANIŞLI UMARIM UZUN ÖMÜRLÜ OLUR TEŞEKKÜRLER;2
bu makineden ikinci alışım gayet iyi bir makina. sakal için öneririm. magazadan da 4. makina alışım . olumsuz birşeyle karşılaşmadım;2
hızlı satıcı problem yok;2
Birçok traş makinesi kullandım. Gerçekten kullanışlı ve güzel bir ürün yapmışlar, çok beğendim. Ürünlere pek yorum yapmam ama bu ürünü kullandıktan sonra kendimi bir anlamda mecbur hissettim :;2
Olay budur. Boş yere diğer markalara para vermeyin. Tıraş sadece 5 dk sürdü. Oldukça sessiz.;2
Ürün kullanışlı ve kesimi güzel parasinin hakkini veriyor;2
Makine oldukça kaliteli. Sakal için rahatlıkla kullanıyorum. Tavsiye ederim.;2
hasarlı gelgi geri yolladım kullanmadık ;1
Ürün 3-4 ay kadar dayanabildi sonrası hüsran, parasını çıkardı mı evet. Ama beklentiniz yüksek olmasın. Hem saç hem sakal traşı için kullanıldı. Ama belirli bir süre sonra kesim yaparken boğulmaya başladı ve kesememeye başladı.;1
Ürün paketsiz şekilde geldi evime gelmedi kendim gittim aldım sanki kullanılmış gibiydi öyle geldi bana emin değilim ama ürün çalışıyor sorun yok;1
Fiyat performans ürünü;2
efsane bir ürün sakal ve ense çizim için ideal saç için farklı ürünlere bakın kirli sakal ve bir numara için;2
Ürünü çok beğendim güzel kesiyor, bu kadar beklemiyordum. Gayet başarılı. Fiyatta uygun. Şuan için güzel. Gelecekte ne olur bilemem. Fiyata göre çok iyi.;2
ürün güzel tavsiye ederin sıfır kesim için aldım gayet iyi;2
Gayet guzel goruntulu ve kaliteli urun.;2
philipsin tras makinesini kullanıyordum. Bu ürün şarj ve bıçak olarak philips'ten daha kaliteli. bosuna 3 kati fazla ödeyip marka almayin. cok iyi kesiyor sıfıra yakın;2
103 liraya alincaj gzl kibar makina her ise yarar. Sac kesme harici her ise yarar sakal vs;2
süper kesiyor harika bı makina;2
Ürünü sorunsuz teslim aldım. Sipariş vermeden önce mağaza ile ilgili olumsuz yorumlar korkutmuştu ama sorunsuz bir alışveriş oldu benim için. Makinenin bıçakları çok güçlü. Çekme, koparma yok. Fiyatına göre çok güzel bir makine. Mağaza faturayı mailime atmıştı. Teşekkürler.;2
İlk defa bir ürüne yorum yapıyorum ürün beklediğimden harika çıktı hiç düşünmeden alabilirsiniz;2
5 yıldır kullanıyorum yedek olsun diye aldım isyerime;2
ÜRÜN ÇOK KULLANIŞLI VE KALİTELİ TEŞEKKÜRLER.;2
Daha oncede powertec kullanan biri olarak soylemeliyim ki, bu model bi efsane beylerr;2
??????????????????????;2
ürün çok şık fakat içi boş bir ürün. biraz daha bütçe zorlayıp iyi bir makine almanızı tavsiye ederim. sıfırı çok kötü;1
Ürün gelmedi ki beğenelim;1
emsallerine göre fiyatı düşük olunca bi çekinceyle aldım ama gerçekten kaliteli ve kullanışlı. 5 yıldızı sonuna kdar hakediyor. mağaza hızı da cok iyi;2
iyi ürün teşekkürler parasına göre iyi ürün umarım çabuk bozulmaz;2
Ürün güzel bu paraya bu kalite performans ama makine ilk. Geldiginde kendi yüzümde denedim kuaförüm diş çiziyordu ayarladım ürün parasına göre çok iyi güçlü;2
Güzel ve kaliteli ürün tavsiye ederim;2
ürün parasına göre çok iyi;2
Evet çok güzel bir makina;2
Eşime aldım. Çok beğendi. Saçını da sakalını da şekillendiriyor. Gayet kullanışlı;2
Ürün başarılı tafsiye ederim;2
Güzel ürün tavsiye ederim;2
teşekkürler güvenilir mağaza;2
Güzel ürün Harika satıcı;2
ürün güzel fiyatı da uygun fakat garanti belgesi doldurulmamis;0
daha tam olarak kullanmadım ancak beklediğim gibi;2
Hızlı kargo, kaliteli ürün. Kedi ve köpek traşı için aldım. Kıt olan yerleri T uç sayesinde daha kolay kesebiliyorum.;2
guzel hic bir sorunu yok;2
kaliteli kesinlikle tavsiye ederim;2
Urun tamamen fiyat performans urunu. Piyasada daha iyi oldugunu sanmam. Highly recommended!!;2
Ürün gerçekten harika kuoförümde gördüm ve tafsiyesi üzerine aldım.kullandım harika ve KUSURSUZ.??;2
makine güzel kullanışlı;2
Ürün güzel ürün hakkında bir şikayetim yok;2
ürün anlatıldığı gibi. teşekkür ederim.;2
Berberimin tavsiyesi ile aldım çok beğendim tavsiye ederim bundan evvel aldıklarımın çok üstünde bir makina;2
evet çok beğendim;2
Ne yalan söyleyeyim, bu kadar iyi bekle miyordum.;2
Cok guzel kullandim. Bu fiyata alınabilecek en iyilerden. Bilader e de sipariş verecem.;2
Ürün yaklaşık 50 saatte elime ulaştı. Beklediğimden daha pratik ve daha güçlü çıktı. Tam bir fiyat performans ürünü.;2
üründeki 3mm tarağı bildiğimiz 3 numaralı traş diye aldım. meğer 0 ile 1 arasında bişeymiş. bir defa neme kesimi yaptığım için iade yada değişim olmuyormuş. boşa almış oldum çöpe para attık.;1
Bana göre süper üç adet aldım;2
Ürünü begendim ve teşekkür ederim;2
evet beğendim güzel;2
Evet harıka ürün sıfır sakal taşı yapıyo;2
Hayır beğenmedim;1
Başarılı makine düşünmeden alınabilir;2
n11.com üyesi 01.10.5050 Bozuk ve dezenforme olmuş ürün geldi ve iade alınmadı Bu arkadaşın yaşadıklarını aynısını bende yaşadım ve aynı şekilde sonucladı tek farkı bana BERBER mısın dıye sorulması ıdı MUMKUNSE BU FIRMADAN alışveriş YAPMAYIN muhakkak ayı olayı sizde yaşayacaksınız bu konuda eminim;1
kullanışlı memnun Kaldım;2
Hayır beğenmedim .Rezillik;1
Çok seri bir cihaz. Fiyatına göre çok iyi;2
Evet şık tasarım ve tatminkâr markayı zaten biliyordum saç tıraşı Makinesi vardı zaten ince dişte powertec tr658 ile tamamlandı tavsiye ederim;2
ürün çok güzel, temizlemesi gayet kolay, çok memnun kaldım;2
Aldığım ürün şarj almıyordu ve üzerinde dezenformasyon vardı. Ona rağmen açıldığını bahane ederek iade almadılar ve teknik servise yönlendirdiler. Yeni alınmış bir ürün çalışmadığında ve üstüne üstlük üründe dezenformasyon olmasına rağmen niye teknik servise gitmekle uğraşıyorum anlamadım. Gönderdiğim ürünü de kabul almayıp tekrar bana gönderdiler ve kargo ücretini ben ödemek durumunda kaldım. N11 sağolsun itiraz ettiğimde aynı miktarda kupon vererek zararımı kapattı.;1
Güzel ürün düşünmeden alın;2
urunu kullanmadim ama elime ulasti cok guzel gozukuyor . urun Orta boydadir.;2
Ürünü çok beğendim;2
Fiyatına göre oldukça güzel bir ürün. Kesinlikle tavsiye ediyorum. Paketleme ve kargo iyiydi.;2
Gramajı ağırlığı kaliteli duruyor ..memnun kaldım ..işimi gayet güzel görüyor ...;2
çok güzel birebir aynı ürün güçlü motoru var dükkanım için aldım gayet güzel ve sağlam bir ürün;2
Ben ürünü traş olduğum berberde görüp almıştım. Gayet sağlam ve kaliteli gibi duruyor. Fiyatına göre çok iyi olduğunu söyleyebilirim;2
kullandigim üründü 3 arkadaşıma daha aldım herkez memnun tesekkurler;2
Samsung şarj cihazı bile oluyor, hem kablolu hem kablosuz jilet gibi, oldukça güzel ve güçlü.;2
Parasını hak eden ürün. Fiyat performans harika;2
Ürünü daha öncede kullandım sert sakallar için birebir uyumlu ve güzel;2
Ürün güzel tavsiye ederim;2
fiyat performans kıstasına göre gönül rahatlığıyla alabilirsiniz.;2
Ürün hakkını fazlasıyla veriyor. İnce işler için süper bir makina;2
Gerçekten ürün çok kaliteli... Almak isteyenlere tavsiye ederim.;2
Gönül rahatlığıyla alın kullanın;2
ürün güzel kullanışlı beğendim geldiği gibi kullandım;2
braoun marka bir tane vardı taraksız kesince almıyordu farklı uzunluk gibi bırakıyordu bu resmen 1 günlük sakal gibi alıyor fena kesiyor ama benim gibi beceriksizseniz ve ilk kez deniyorsanız yani daha önce böyle kullanan birisi 3 dk da keserse ben 7 dk kesiyorum böyle oluncada makina ısınıyor demiri fena rahatsız ediyor ama eli alışık olanlar ısınmadan şak şak keser diye düşünüyorum ısınması kötü kesimi motoru falan güçlü. ben kışın kullanmak için sakalım sert olduğu için duşta yumuşat yarı çıplak traş ol üşütmr tehlikesi olmaması için duşa girmeden kesicem duşumu alıp çıkıcam. yani pişman olmadım alınır güzel cihaz.;1
Harika bir makina çok güzel kesiyor. Kasası oldukça sağlam ben çok beğendim vallahi;2
ürün anlattığı gibi herkese tavsiye ederim...;2
Ürünü beğendim herhangibir sıkıntı yok tam istediğim gibiydi teşekkürler;2
Başarılı ürün, fiyat/Performans ürünü;2
gelir gelmez hemn actim şarjı vardı ürün güzel paketlenmis sıkıntısız çalışıyordu sakal tıraşı yaptım 0 kesimi çok güzel gönül rahatlığıyla alabilirsiniz;2
Gerçekten çok kaliteli bir tıraş makinesi. Hızlı kargo için de teşekkür ederim. İlgili bir satıcı, bu ikinci siparişim.;2
ürüne yapılan olumlu yorumlara bakarak aldım. ürün anlatıldığı gibiydi. gayet kullanışlı ve pratik. umarım uzun ömürlü olur.;2
arkadaşlar alin;2
fiyatına göre maksimum verimli;2
cok kaliteli buldum tavsiye ederim;2
çok ince ağız yapısı var, şarjı çok iyi. Braun var fiyat bunun rahat 3 katı ama şarj ve ağız bu makine yanında hiç. marka işte;2
çok kaliteli herkes e tavsiye ederim;2
Traş makinası çok güzel gerçekten mükemmel 3.yü aldık;2
Makina çok şık güzel bir ürün tavsiye ederim;2
5 adet aldık 1. 3 . 5 aydır bizde memnunduk. anlayın vorteil teşekkürler. 5. yeni aldık ondada sorun yok;2
Ürünü ikinci alışım, birini hediye olarak aldım, oda memnun kaldı. Sakal için özellikle çok güzel sıfıra yakın bir kesimi var. ama sinek kaydı derseniz hayır. Tarak kısmı dışındaki yerler plastik. fiyatına göre çok iyi. tavsiye ederim.;2
Beğendim gayet güzel;2
Evet beğendim alacak arkadaşlara tavsiye ediyorum;2
Ürün resimdeki gibi gayet güzel ele oturuyor, titreşim yok denecek kadar az, kesmesi süper , kıl yolma tahriş etme yok, tavsiye ediyorum alın kullanın ilk kullanımda çok memnun kaldım teşekkürler...;2
hem uygun hem kalite başka ne denilebilir ki?;2
ürün çok güzel ve kullanışlı iki adetyaldim.tavsiye ederim.;2
Ürünü beğendim herkese gönül rahatlığı ile tavsiye ederim;2
Çok güzel bir ürün. tavsiye ederim. çevremde kullananlar da memnun;2
Çok kalitesiz kesiyor. Berbeelerdelki markasız ürünler bundan çok iyi. Kullanmıyorum duruyor öyle.;1
Vücut kılları ve sakallar için güzel bi ürün. Sarjı uzun gidiyor ve çabuk doluyor. Fiyat performans ürünü;2
Hayır boynumu kesti;1
çok güzel ve kaliteli ürün;2
Ürünü çok beğendim;2
Güzel ürün Jet hızında teslimat Teşekkürler..;2
Ürün ikinci kattan düştü sadece çizildi...;2
tarif edildiği gibi kaliteli bir ürüne benziyor;2
Ürün çok güzel, kullanışlı, motoru kuvvetli. Fiyatı da uygun;2
Adaptörü kırık geldiği için yorum yapamıyorum. Görünüşü fena değildi.;1
arızalı ürün gönderiyo..dikkat edin..iadeaide yokmuş;1
ürünü nisan ayında satın aldım, saç tıraşı performansı güzel ama sakal için ideal değil. birde şarj olurken pilden ses geliyor şarj süresi gayet makul. 5,5 ay sorunsuz kullandım fakat sonrasında bozuldu, motor kendi kendine yavaşlayarak duruyor, düzeltmek için içini açıp motoru elle döndermek gerekiyor ama sonrasında aynı sorunu tekrar yapıyor.;1
SÜPER ÜRÜN SÜPER MAĞZA SÜPER KARGO TEŞEKKÜRLER;2
Ürün gayet başarılı. Gönderici firma gayet özenli kargolamış. Ürün resimde olduğu gibi geldi ve sakal içinde 1-5-3 numara traş başlıkları, mini temizleme fırçası, ince yağ, şarj adaptörü de çöküyor kutudan.;2
Ürünü kuaförde görüp de aldım. Cildi tahriş etmiyor ve sarjı çok uzun süre gidiyor.;2
sadece sakal keseceğini düşündüm ama saçta kesimi yaptım biraz zorlandı sanki ama oldukça başarılı bir makine tavsiye ederm;2
ürünü beğendim bide sipariş verir vermez bir saat içinde kargoya vermesi çok güzel;2
ürün süper hiç çekinmeden alabilirsiniz;2
çok harika tavsiye ederim;2
Güzel ürün sıfıra yakın kesiyor. Micro usb kablosu Eski android şarj kablosu ile şarj edebiliyorsunuz. Resimde boyutu büyük görünüyor ama ufak hoş.;2
Kargo Hızı Mükemmel her eve diye başlayan mağazadan almıştım adamlar kargoya veremedi bundan sonra bu tarz ürünleri bu mağazadan alacağım bir buçuk günde geldi. Yorumlara bakarak aldım pişman olacağımi sanmıyorum;2
Beğenmedim iade ettim;1
kötü bu firma dan almayın;1
ürün kalitesi çok iyi performans olarakta güclü makina;2
Ürünü begendim fakat kullanılmış gibiydi;0
Mağaza bozuk, çalışmayan ürün gönderdi. Defalarca değişim iade talep de bulundum. sürekli oyalayip bahane uydurdular. Sakın almayın bunlardan bir şey.;1
Fiyatına göre iyi çekme yapmıyor.;1
Üründen memnun kalmadım ve iade etmek istedim ama mağaza kabul etmiyor iade vardiye aldanmayın ürüne...;1
Ürün kısa sürede geldi, paket özenli idi. Kullanımda rahat 1-5-3mm uçlar var daha fazla olabilirdi, onun haricinde fiyatına göre güzel tavsiye ederim.;2
600 lira para verdim moser aldım bir kutu da geldi rezalet. garanti bandı yok içinde ne olduğu belli değil ve hemen kargo elemanını göndermedim geri yolladım. 100 liraya bu ürünü aldım mükemmel bir traşı var. jilet traşıyla aynı traşı var hemen hemen. çok memnunum.;2
10dk şarj oluyor sonra yeşil ışık yanıyor oysa şarjı yok makinenin.Kesik kesik çalışıyor en son kendi kendine çalışmayı durduruyor.Beklediğim gibi değildi;1
1 saniye bile düsünmeden alın. Resmen sıfır alıyor sakal ve ense icin aldim sonuc mukemmel. Bu kadar olacagini tahmin etmemistim.;2
evet beğendim tavsiye ederim;2
bu fiyata bu makina harika, bir çok iyi marka dediğinden daha iyi iş çıkarıyor.;2
Uzun ömürlü olursa son zamanlarda yaptığım en iyi alışveriş diyebilirim.;2
Ürünü kullanmadım.Ama paketleme çok özensiz. Sanki 3.el ürün gibi;1
ürün çok kaliteli;2
Bazı arkadaşlar kıl çekiyor/koparıyor demiş. İsterseniz bin tllik tıraş makinesi ile tıraş olun yine çeker ilk sakallarınızı tarayın birbirinden ayırın sonra çekme yaparsa tamam makinede sorun vardır hiçbir müşterimden böyle ne bir şikayet aldım ne de kıl çektiğini hissettim kendim de bizzat kullanıyorum gayet iyi daha bugün geldi üç kişide de sorun yok tr-1500 modeli de saç için çok iyi tavsiye ederim;2
evet cok iyiydi;2
Moser, Panasonic marka pahalı cihazları kullanmış biri oalrak şunu söyleyebilirim ki parasını fazlasıyla hakl eden bir ürün. 5 bin liralık moser cihazı emekli etti, ben kafamı kazımak ve sert sakalımı tıraş etmek için kullanıoyrum, jilete yakın tıraş yapıyor şiddetle tavsiye ederim;2
ürün için saç da keser yazıp müşteri aldatıyorlar ama ürün asla saç kesimi için tasarlanmamıştır.powertec firması türk ama ürünleri çinden alıyorlar türk malı değil ürünler,arayıp sorabilirsiniz.aliexpresten satın alınsa yarı fiyata alınabilirdi,şimdi olsa asla tr den almam.;1
Ürün harika rengi, tutuşu çok güzel. Çalışma sesi rahatsız etmiyor açıkcası kaliteli bir ürün...;2
makinayı beğendim Berberim zaten;2
Güvenilir esnaf Ürün kullandığım ürün satıcı güvenilir hediye göndermiş olduğunuz için teşekkür ederim;2
Mükemmel ötesi Uzun zamandır bu ürünü aramaktaydım. Sonunda buldum.;2
Müthiş ürün. SAKA-FLURYA-KANARYA kuşu besleyenler bu ürünü kaçırmasın.;2
Süper Güzel bir ürün tavsiye ederim;2
kolay kurulum, süper ürün herkese tavsiye ederim sorunsuz satıcı, iyi ürün tavsiye ederim;2
harika 10 numara 5 yıldız;2
Teşekkürler Mükemmel ürün mükemmel fiyat;2
Hediye için teşekkür Ederim.. Malınua Kanarya’m yemi çok sevdi. Başarılı..;2
TEŞEKKÜRLER....;2
Ben jiletle sakal tıraşı olmaktan bıktığım için ve jilet tahriş ettiği için aldım, jilet gibi sıfır kesiyor.Ben çok beğendim ve artık jilet kullanmayacağım, hem sakal hem ense için yapılmış on numara bir makina, saç traş için olmaz, saç traş için iki kademeli olanları tercih ediniz.;2
ürün kaliteli görünüyor berberde görerek aldım sakal tıraşı da başarılı kullandıkça kalitesini gösterecek şimdilik sorun yok başarılı cihaz;2
Öncelikle ürünü çok geç teslim ettiklerini söylemek istiyorum.. Ürünü açtığımda paketinde verilen taraklardan 1mm ve 3mm olan verilmiş, fakat 5mm olanı göndermemişlerdi. Mağazayla iletişime geçtiğimde ancak kargo ücreti ödenirse göndereceklerini söylediler. Yani ürünü sizin elinize eksik ulaştırıyorlar, bir de tamamlanması için kendi cebinizden kargo parasını da ödüyorsunuz. Mağaza hiçbir şekilde ortak nokta bulmaya çalışmıyor, sizin ürünü teslim aldığınızda tutanak tutmanız gerektiğini söylüyor. Tabii ki pratikte hiçbir insan tüm kutuyu açıp eksik olup olmadığına bakamayacaklarını bildikleri için bu yöntemle paçayı kurtarmaya çalışıyorlar. Ürünü hiçbir şekilde iade almıyorlar. Ürün yanlış,eksik veya kusurlu gelebilir. Ve geldiğinde ürünü kesinlikle iade edemeyeceğinizi bilerek kararınızı verin. Şu ürün için beni 5 haftadır uğraştırdılar.Aldığıma alacağıma bin pişman oldum. Bu ürünü alacaklara bu mağazayı kesinlikle tavsiye etmiyorum.;1
tavsiye ederim emsallerinden iyi;2
ürün sakallarımı yoluyor bozuk çıktı kargo parasını ben karşılayıp garantiye yollayacakmışım ??;1
Ürünü beğendim güzel kesiyor kullanışlı bir ürün;2
daha öncede alışverişim oldu sorunsuz zamaninda kargoya çıkarttılar. cihaz eksiksiz ve düzgün saglam calisiyor;2
ürün güzel begendim tıraş oldum hiç çekme yapmıyor;2
Çöpe atacak parası olan HEMEN alsın !!!!;1
Ürün hemen bozuldu çin malı zaten 3 kullanımda bozuldu alan pişman olur.;1
Ürün güzel, iki günde elime ulaştı. Kesim aparatlarının plastik kalitesi iyi gibi duruyor umarım zamanla gevşeyip kırılmaz.;2
urun anlatıldığı gibi geldi teşekkürler;2
uzun kil sakal saç kısaltma işi yapmıyor. sadece sıfır kesmek ve kısa olanı dahada kısaltmak için kullanılabilir. neredeyse jilete yakın kısalıkta kesiyor.;1
Tavsiye ederim güzel alışveriş;2
ürünü beğenmedim sakal almak için yapılmış ama sakalları çekiyor;1
urun mukemmel tahris etmiyor sakalı sıfır alıyor berber tavsiyesi ile aldim;2
İLK İZLENİM OLARAK GAYET GÜZEL KULLANDIKCA GÖRECEĞİZ BAKALIM;2
Herkese tavsiye ederim kesinlikle pişman olmazsınız;2
evet çizimi güzel;2
alacak arkadaşlar gönül rahatlığıyla alabilir sakal traşı olurken bazı makineler gibi kıl çekme yapmıyor çok stabil ve güzel kesiyor vücut içinde mükemmel aynı yerden 4-5 sefer geçmenize dahi gerek yok biz biraz zorlayıp saç traşı bile olduk bu ürün alınır;2
Ürün 50 saatte elime ulaştı teşekkür ederim;2
Ürün harika parasını hak ediyor;2
İlk izlenim olarak gayet güzel ürün. Sessiz çalışıyor. Sıfıra yakın alıyor. Tavsiye ederim. Kutusunda garanti belgesiyle geldi. Şahsen beğendim.;2
Temiz ve güzel ürün tasfiye ederim..;2
boş yere markaya para vermeyin derim ürün berberlerin kullandigi ürün büyük markalardan alamadığım verimi bu cihazda aldım. Tavsiye ediyorum;2
